 n is  326		 Sparse 	0.009327 	 ms		 Dense 	3.47616	 ms
 n is  327		 Sparse 	0.013687 	 ms		 Dense 	0.833804	 ms
 n is  328		 Sparse 	0.009272 	 ms		 Dense 	1.48107	 ms
 n is  329		 Sparse 	0.00912 	 ms		 Dense 	0.815773	 ms
 n is  330		 Sparse 	0.01329 	 ms		 Dense 	0.787388	 ms
 n is  331		 Sparse 	0.005522 	 ms		 Dense 	0.838037	 ms
 n is  332		 Sparse 	0.009064 	 ms		 Dense 	0.558586	 ms
 n is  333		 Sparse 	0.009824 	 ms		 Dense 	0.874499	 ms
 n is  334		 Sparse 	0.009352 	 ms		 Dense 	0.783757	 ms
 n is  335		 Sparse 	0.008526 	 ms		 Dense 	2.18994	 ms
 n is  336		 Sparse 	0.005782 	 ms		 Dense 	0.528584	 ms
 n is  337		 Sparse 	0.01286 	 ms		 Dense 	0.687327	 ms
 n is  338		 Sparse 	0.005476 	 ms		 Dense 	0.490066	 ms
 n is  339		 Sparse 	0.005083 	 ms		 Dense 	0.620453	 ms
 n is  340		 Sparse 	0.005797 	 ms		 Dense 	0.526387	 ms
 n is  341		 Sparse 	0.008251 	 ms		 Dense 	0.589838	 ms
 n is  342		 Sparse 	0.024088 	 ms		 Dense 	2.46828	 ms
 n is  343		 Sparse 	0.008791 	 ms		 Dense 	0.83913	 ms
 n is  344		 Sparse 	0.009605 	 ms		 Dense 	0.806451	 ms
 n is  345		 Sparse 	0.009985 	 ms		 Dense 	0.676269	 ms
 n is  346		 Sparse 	0.014339 	 ms		 Dense 	2.50353	 ms
 n is  347		 Sparse 	0.009655 	 ms		 Dense 	3.61671	 ms
 n is  348		 Sparse 	0.012342 	 ms		 Dense 	0.702296	 ms
 n is  349		 Sparse 	0.110629 	 ms		 Dense 	1.06857	 ms
 n is  350		 Sparse 	0.012554 	 ms		 Dense 	0.535649	 ms
 n is  351		 Sparse 	0.005346 	 ms		 Dense 	0.531237	 ms
 n is  352		 Sparse 	0.005578 	 ms		 Dense 	0.569277	 ms
 n is  353		 Sparse 	0.009189 	 ms		 Dense 	0.854102	 ms
 n is  354		 Sparse 	0.00991 	 ms		 Dense 	0.644167	 ms
 n is  355		 Sparse 	0.006065 	 ms		 Dense 	0.596186	 ms
 n is  356		 Sparse 	0.010354 	 ms		 Dense 	11.5884	 ms
 n is  357		 Sparse 	0.034248 	 ms		 Dense 	2.4613	 ms
 n is  358		 Sparse 	0.022192 	 ms		 Dense 	0.906331	 ms
 n is  359		 Sparse 	0.009411 	 ms		 Dense 	0.847244	 ms
 n is  360		 Sparse 	0.008716 	 ms		 Dense 	0.894357	 ms
 n is  361		 Sparse 	0.009749 	 ms		 Dense 	5.43897	 ms
 n is  362		 Sparse 	0.018676 	 ms		 Dense 	1.0089	 ms
 n is  363		 Sparse 	0.009917 	 ms		 Dense 	0.907995	 ms
 n is  364		 Sparse 	0.022429 	 ms		 Dense 	0.883956	 ms
 n is  365		 Sparse 	0.647696 	 ms		 Dense 	3.18981	 ms
 n is  366		 Sparse 	0.014172 	 ms		 Dense 	0.925549	 ms
 n is  367		 Sparse 	0.023417 	 ms		 Dense 	0.952161	 ms
 n is  368		 Sparse 	0.010204 	 ms		 Dense 	1.57799	 ms
 n is  369		 Sparse 	0.010002 	 ms		 Dense 	0.944441	 ms
