 n is  358		 Sparse 	0.005448 	 ms		 Dense 	0.546168	 ms
 n is  359		 Sparse 	0.005371 	 ms		 Dense 	0.555459	 ms
 n is  360		 Sparse 	0.005413 	 ms		 Dense 	0.635344	 ms
 n is  361		 Sparse 	0.008607 	 ms		 Dense 	0.568734	 ms
 n is  362		 Sparse 	0.005575 	 ms		 Dense 	0.559667	 ms
 n is  363		 Sparse 	0.00569 	 ms		 Dense 	0.839658	 ms
 n is  364		 Sparse 	0.009741 	 ms		 Dense 	0.642539	 ms
 n is  365		 Sparse 	0.005953 	 ms		 Dense 	0.587563	 ms
 n is  366		 Sparse 	0.005743 	 ms		 Dense 	0.579114	 ms
 n is  367		 Sparse 	0.005567 	 ms		 Dense 	0.596567	 ms
 n is  368		 Sparse 	0.00595 	 ms		 Dense 	0.579468	 ms
 n is  369		 Sparse 	0.005615 	 ms		 Dense 	0.589533	 ms
